trials.label	trials.startVal	trials.stepSizes	trials.maxVal	trials.minVal	trials.thisIndex	trials.thisRepN	trials.thisN	trials.direction	trials.stepSize	trials.stepType	trials.intensity	key_resp.corr	trials.response	participant	session	date	expName	psychopyVersion	frameRate
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	1	0	start	0.01	db	0.05	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	2	1	down	0.01	db	0.049942468	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	3	2	up	0.01	db	0.05	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	4	3	up	0.01	db	0.050057598	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	5	4	up	0.01	db	0.050115262	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	6	5	up	0.01	db	0.050115262	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	7	6	up	0.01	db	0.050115262	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	8	7	up	0.01	db	0.050172992	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	9	8	up	0.01	db	0.05023079	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	10	9	up	0.01	db	0.050288653	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	11	10	up	0.01	db	0.050288653	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	12	11	up	0.01	db	0.050288653	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	13	12	down	0.005	db	0.050259713	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	14	13	up	0.005	db	0.050288653	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	15	14	up	0.005	db	0.050288653	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	16	15	up	0.005	db	0.050288653	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	17	16	up	0.005	db	0.05031761	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	18	17	up	0.005	db	0.050346583	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	19	18	up	0.005	db	0.050346583	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	20	19	up	0.005	db	0.050375574	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	21	20	up	0.005	db	0.05040458	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	22	21	up	0.005	db	0.05040458	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	23	22	up	0.005	db	0.050433604	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	24	23	up	0.005	db	0.050462644	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	25	24	up	0.005	db	0.050491701	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	26	25	up	0.005	db	0.050491701	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	27	26	up	0.005	db	0.050491701	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	28	27	up	0.005	db	0.050520775	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	29	28	up	0.005	db	0.050520775	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	30	29	up	0.005	db	0.050549865	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	31	30	up	0.005	db	0.050578973	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	32	31	up	0.005	db	0.050608097	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	33	32	up	0.005	db	0.050608097	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	34	33	up	0.005	db	0.050637237	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	35	34	up	0.005	db	0.050637237	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	36	35	up	0.005	db	0.050666395	0	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	37	36	up	0.005	db	0.050695569	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	38	37	up	0.005	db	0.050695569	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	39	38	up	0.005	db	0.050695569	1	0	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	40	39	up	0.005	db	0.05072476	0	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
cont 	0.05	"[0.01, 0.01, 0.005, 0.005]"	1	0	0	41	40	up	0.005	db	0.05072476	1	1	jainil	1	2022-09-05_17h34.18.031	grating	2022.1.4	59.98282092
